2021-03-18 09:20:37,809 | train | INFO | Validation epoch 3 Mean loss: 0.12467609379332567 Accuracy: 0.9617391304347827
2021-03-18 09:20:37,828 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210318_091614/model.pth
2021-03-18 09:20:37,829 | train | INFO | Validation loss decreased 0.14660070561844368 -> 0.12467609379332567
2021-03-18 09:21:34,513 | train | INFO | Train epoch 4 Mean loss: 0.11555721168736663 Accuracy: 0.9662597436062617
2021-03-18 09:21:39,647 | train | INFO | Validation epoch 4 Mean loss: 0.1277868143801807 Accuracy: 0.9620289855072464
2021-03-18 09:21:39,648 | train | INFO | Early stopping counter 1/5
2021-03-18 09:22:38,186 | train | INFO | Train epoch 5 Mean loss: 0.09933320517686654 Accuracy: 0.9711718095728918
2021-03-18 09:22:42,816 | train | INFO | Validation epoch 5 Mean loss: 0.11745707051335848 Accuracy: 0.9649275362318841
2021-03-18 09:22:42,834 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210318_091614/model.pth
2021-03-18 09:22:42,834 | train | INFO | Validation loss decreased 0.12467609379332567 -> 0.11745707051335848
2021-03-18 09:23:42,436 | train | INFO | Train epoch 6 Mean loss: 0.08557001944829071 Accuracy: 0.9749726212716614
2021-03-18 09:23:47,373 | train | INFO | Validation epoch 6 Mean loss: 0.1006597204990955 Accuracy: 0.9669565217391304
2021-03-18 09:23:47,383 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210318_091614/model.pth
2021-03-18 09:23:47,383 | train | INFO | Validation loss decreased 0.11745707051335848 -> 0.1006597204990955
2021-03-18 09:24:45,376 | train | INFO | Train epoch 7 Mean loss: 0.07462975421983205 Accuracy: 0.9782419635379759
2021-03-18 09:24:51,624 | train | INFO | Validation epoch 7 Mean loss: 0.10180663547508985 Accuracy: 0.9652173913043478
2021-03-18 09:24:51,624 | train | INFO | Early stopping counter 2/5
2021-03-18 09:25:52,460 | train | INFO | Train epoch 8 Mean loss: 0.06511527776308323 Accuracy: 0.9809798363718354
2021-03-18 09:25:57,542 | train | INFO | Validation epoch 8 Mean loss: 0.09167046430033118 Accuracy: 0.9701449275362319
2021-03-18 09:25:57,557 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210318_091614/model.pth
2021-03-18 09:25:57,557 | train | INFO | Validation loss decreased 0.1006597204990955 -> 0.09167046430033118
2021-03-18 09:26:54,758 | train | INFO | Train epoch 9 Mean loss: 0.057793574484259036 Accuracy: 0.9829607678928042
2021-03-18 09:27:00,557 | train | INFO | Validation epoch 9 Mean loss: 0.08751496943527076 Accuracy: 0.9710144927536232
2021-03-18 09:27:00,576 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210318_091614/model.pth
2021-03-18 09:27:00,576 | train | INFO | Validation loss decreased 0.09167046430033118 -> 0.08751496943527076
2021-03-19 07:57:13,055 | train | INFO | Epoch 0, Train, Mean loss: 1.8217369370998862, Accuracy: 0.4250281848928974
2021-03-19 07:57:16,114 | train | INFO | Epoch 0, Validation, Mean loss: 1.2373388725778331, Accuracy: 0.6811594202898551
2021-03-19 07:58:14,980 | train | INFO | Epoch 0, Train, Mean loss: 1.8217369370998862, Accuracy: 0.4250281848928974
2021-03-19 07:58:18,017 | train | INFO | Epoch 0, Validation, Mean loss: 1.2373388725778331, Accuracy: 0.6811594202898551
2021-03-19 07:58:18,030 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210319_075756/model.pth
2021-03-19 07:58:25,982 | train | INFO | Epoch 1, Train, Mean loss: 0.881684609226682, Accuracy: 0.769528104364632
2021-03-19 07:58:28,914 | train | INFO | Epoch 1, Validation, Mean loss: 0.6255366944748423, Accuracy: 0.8115942028985508
2021-03-19 07:58:28,935 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210319_075756/model.pth
2021-03-19 07:58:28,936 | train | INFO | Early stopper, Validation loss decreased 1.2373388725778331 -> 0.6255366944748423
2021-03-19 07:58:37,116 | train | INFO | Epoch 2, Train, Mean loss: 0.5448999774016358, Accuracy: 0.8540827830568529
2021-03-19 07:58:40,719 | train | INFO | Epoch 2, Validation, Mean loss: 0.4641517475463342, Accuracy: 0.863768115942029
2021-03-19 07:58:40,732 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210319_075756/model.pth
2021-03-19 07:58:40,733 | train | INFO | Early stopper, Validation loss decreased 0.6255366944748423 -> 0.4641517475463342
2021-03-19 07:58:48,995 | train | INFO | Epoch 3, Train, Mean loss: 0.4187855436662378, Accuracy: 0.8875825414720567
2021-03-19 07:58:51,907 | train | INFO | Epoch 3, Validation, Mean loss: 0.3946575766024382, Accuracy: 0.881159420289855
2021-03-19 07:58:51,931 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210319_075756/model.pth
2021-03-19 07:58:51,932 | train | INFO | Early stopper, Validation loss decreased 0.4641517475463342 -> 0.3946575766024382
